key,name
Q287617,ABS-CBN
Q16164774,AOMG
Q489428,DSP미디어
Q492381,EXID
Q16688390,HB 엔터테인먼트
Q213097,JTBC
Q483238,JYP 엔터테인먼트
Q483938,SM 엔터테인먼트
Q50595,YG 엔터테인먼트
Q7509507,iHQ
Q2995703,간사이 기원
Q10855622,굿 엔터테인먼트
Q2120619,나눔의 집
Q482607,문화방송
Q15509774,미스틱89
Q16161254,빅히트 엔터테인먼트
Q7640246,성신여자대학교
Q5005884,씨제스 엔터테인먼트
Q1988428,에이벡스 트랙스
Q1634097,일본기원
Q495876,조선로동당 중앙위원회
Q56505191,조선엑스포닷컴
Q484449,큐브 엔터테인먼트
Q221162,토쿠마 재팬 커뮤니케이션즈
Q11233843,티오피미디어
Q13424955,판타지오
Q45282,플레디스
Q495384,한국기원
