key,name
Q4684910,Adrian C. Wilcox High School
Q986122,Ashland University
Q4898039,Bethlehem Central High School
Q4948174,Boston University College of Fine Arts
Q1804942,Centre College
Q1100801,Cleveland State University
Q1179603,DePaul University
Q11414578,Dojinsha
Q1335573,Emerson College
Q4500472,Houghton College
Q56524777,International School Berna
Q17038327,Jilin Yuwen High School
Q142740,MIT Sloan School of Management
Q3890936,"Moscow State University, Faculty of Law"
Q770467,New York University Stern School of Business
Q7103453,Ormond Stone Middle School
Q7105618,Osaka University of Economics and Law
Q4120165,Perelman School of Medicine at the University of Pennsylvania
Q7229431,Poplar Tree Elementary School
Q11426186,Q11426186
Q4398500,Rostov State University
Q7488523,Shanghai Theatre Academy
Q5836034,Stanford University School of Engineering
Q966540,"Steinhardt School of Culture, Education, and Human Development"
Q7640698,Sunny Hills High School
Q11524659,Tokyo University
Q742494,Tomsk State University
Q11031391,UNES
Q846829,USC Marshall School of Business
Q1145814,University of Illinois system
Q1432632,University of Reading
Q1887879,University of San Francisco
Q7988690,Westfield High School
Q8039083,Wuhan Sports University
Q273482,École Normale de Musique de Paris
Q16092479,가원중학교
Q1372362,가쿠슈인 대학
Q41738,가톨릭대학교
Q12582630,감리교신학대학교
Q18683551,감천초등학교
Q497259,강원대학교
Q41765,건국대학교
Q815432,게이오기주쿠 대학
Q4845523,경기고등학교
Q483189,경기대학교
Q12583553,경기상업고등학교
Q12583554,경기여자고등학교
Q18566215,경기초등학교
Q6452736,경남고등학교
Q12583578,경남여자고등학교
Q12583589,경남중학교
Q6452726,경복고등학교
Q6450914,경북고등학교
Q12583665,경북여자고등학교
Q10855229,경성고등상업학교
Q482751,경성대학교
Q489356,경성제국대학
Q18648101,경원전문대학
Q496536,경희대학교
Q6452721,경희사이버대학교
Q483402,계명대학교
Q12583999,계성정보고등학교
Q39997,고려대학교
Q12584150,고려대학교 사범대학 부속고등학교
Q484154,공주교육대학교
Q16092313,광주서석초등학교
Q12585164,광주인성고등학교
Q12585173,광주제일고등학교
Q336264,교토 대학
Q487177,국민대학교
Q2783799,국방대학교
Q12585837,국악고등학교
Q12585968,군산서흥중학교
Q1188786,규슈 대학
Q945876,그레노블대학교
Q192775,글래스고 대학교
Q135058,김원균명칭 음악종합대학
Q39980,김일성군사종합대학
Q39920,김일성종합대학
Q18815404,나주초등학교
Q10856070,남서울대학교
Q16093731,남성여자고등학교
Q20780469,남성여자중학교
Q21057752,남항초등학교
Q734764,뉴사우스웨일스 대학교
Q1709596,뉴욕 공과대학교
Q49210,뉴욕 대학교
Q1326230,니혼 대학
Q1143226,니혼 여자 대학
Q491127,단국대학교
Q625961,대구가톨릭대학교
Q12591357,대구일중학교
Q12591687,대일고등학교
Q11232508,대전고등학교
Q624072,대전대학교
Q17346003,대전선화초등학교
Q5208233,대진대학교
Q16094577,대청중학교
Q7314491,대한민국 육군 공병학교
Q7314492,대한민국 육군 보병학교
Q482683,대한민국 육군사관학교
Q12592789,덕문여자고등학교
Q16094603,덕성여자고등학교
Q519427,덴버 대학교
Q7842,도쿄 대학
Q1153515,도쿄 예술대학
Q1062129,도호쿠 대학
Q487804,동국대학교
Q12593284,동대전고등학교
Q488100,동덕여자대학교
Q12593305,동래여자고등학교
Q11235635,동북고등학교
Q5295691,동아방송예술대학교
Q623798,동의대학교
Q12593553,동주여자고등학교
Q170027,런던 대학교
Q385471,런던 아카데미 오브 뮤직 앤드 드라마틱 아트
Q499451,럿거스 대학교
Q622137,리하이 대학교
Q155354,마르부르크 필리프 대학교
Q16219499,만주국 육군군관학교
Q49108,매사추세츠 공과대학교
Q17987715,매송중학교
Q12594957,매탄고등학교
Q16079637,매탄중학교
Q46492,메이지 대학
Q483032,명지대학교
Q13164,모스크바 대학교
Q18732189,목포북교초등학교
Q46078680,목포정명여학교
Q426045,몰타 대학교
Q12595645,무학여자고등학교
Q230492,미시간 대학교
Q17987873,박문중학교
Q16094975,배명고등학교
Q16092396,배재고등학교
Q12597702,배화여자고등학교
Q4841260,백석예술대학교
Q29052,밴더빌트 대학교
Q65379,버지니아 폴리테크닉 주립 대학교
Q659080,베른 대학교
Q153006,베를린 자유 대학교
Q12598381,보성고등학교 (서울)
Q12598388,보성여자고등학교
Q49110,보스턴 대학교
Q5001267,부산경상대학교
Q16095213,부산공업고등학교
Q12598796,부산동고등학교
Q17687165,부산여자중학교
Q12598865,부산진여자고등학교
Q49114,브라운 대학교
Q391028,브리티시컬럼비아 대학교
Q12599855,사직고등학교
Q482819,상명대학교
Q18605227,상명초등학교
Q27621,상트페테르부르크 대학교
Q1256981,샌프란시스코 주립대학
Q1132066,생시르 사관학교
Q374457,서강대학교
Q624027,서경대학교
Q4614,서던캘리포니아 대학교
Q16095563,서라벌고등학교
Q12600897,서라벌예술대학
Q16095576,서문여자고등학교
Q625943,서울고등학교
Q7451687,서울과학고등학교
Q482678,서울과학기술대학교
Q17346127,서울교동초등학교
Q16095681,서울대치초등학교
Q39913,서울대학교
Q16095684,서울대학교 사범대학 부설초등학교
Q17503600,서울덕수초등학교
Q16299000,서울동신초등학교
Q16725565,서울미동초등학교
Q19483892,서울불광초등학교
Q16096149,서울수송초등학교
Q16095773,서울수유초등학교
Q17401329,서울여의도초등학교
Q484230,서울여자대학교
Q6498324,서울예술고등학교
Q482649,서울예술대학교
Q18605348,서울용강초등학교
Q17158270,서울장충초등학교
Q12601316,서울재동초등학교
Q12601345,서울천동초등학교
Q12601398,서울혜화초등학교
Q12601747,선정고등학교
Q487180,성균관
Q41085,성균관대학교
Q16095982,성남중학교
Q7640246,성신여자대학교
Q21577152,성심여자고등학교
Q17487273,성심여자중학교
Q12602235,세명컴퓨터고등학교
Q491711,세종대학교
Q16096058,세화여자고등학교
Q12603131,수도여자고등학교
Q482756,수원대학교
Q14723925,수원여자대학교
Q7562661,숙명여자고등학교
Q482735,숙명여자대학교
Q12603461,순천공업고등학교
Q484622,순천향대학교
Q16096219,숭의여자고등학교
Q17989597,숭의중학교
Q7430513,스카릿 대학교
Q41506,스탠퍼드 대학교
Q8012895,스탠퍼드 법학대학원
Q617433,시러큐스 대학교
Q16079792,시온고등학교
Q131252,시카고 대학교
Q20444475,신갈초등학교
Q7497529,신일고등학교
Q16096311,신일중학교
Q168000,아메리칸 대학교
Q491082,아주대학교
Q3272069,아트센터 디자인 대학교
Q624189,안양대학교
Q16079804,안양예술고등학교
Q18605485,양곡초등학교
Q160302,에든버러 대학교
Q621043,에머리 대학교
Q5350875,엘 카미노 칼리지
Q39988,연세대학교
Q8053078,영남고등학교
Q56148,영남대학교
Q12607327,영동고등학교
Q12607346,영락고등학교
Q49112,예일 대학교
Q16096667,오금고등학교
Q309331,오하이오 주립 대학교
Q34433,옥스퍼드 대학교
Q274486,와세다 대학
Q523926,왕립연극학교
Q11262972,용산고등학교
Q482648,용인대학교
Q17990459,울산제일중학교
Q865528,워릭 대학교
Q49167,웨슬리언 대학교
Q18786,유나이티드 월드 칼리지
Q12610081,유한공업고등학교
Q8012925,육군유년학교
Q12613237,이화여자고등학교
Q41114,이화여자대학교
Q12613419,인일여자고등학교
Q497488,인천대학교
Q12613502,인천박문여자고등학교
Q488851,인하대학교
Q700130,일본 육군사관학교
Q6674241,장로회신학대학교
Q16097740,장안대학교
Q12615168,전북체육고등학교
Q16097846,전주고등학교
Q12615798,정신여자고등학교
Q56143,조선대학교
Q840647,조선대학교
Q432637,조지 워싱턴 대학교
Q333886,조지타운 대학교
Q193727,존스 홉킨스 대학교
Q1091287,주오 대학
Q503246,줄리아드 학교
Q6276058,중동고등학교
Q12617640,중앙고등학교 (서울)
Q41790,중앙대학교
Q2822274,중앙희극학원
Q12618300,진영대창초등학교
Q16098159,진영중학교
Q12618339,진주고등학교
Q482692,진주교육대학교
Q12618622,창덕여자고등학교
Q12619090,청담고등학교 (서울)
Q16098304,청담중학교
Q482654,총신대학교
Q5115985,추계예술대학교
Q12620104,충남고등학교
Q489488,충남대학교
Q12620156,충암고등학교
Q174710,캘리포니아 대학교 로스앤젤레스 캠퍼스
Q168756,캘리포니아 대학교 버클리
Q49088,컬럼비아 대학교
Q1187623,켄터키 주립 대학교
Q49115,코넬 대학교
Q49120,터프츠 대학교
Q1782948,테네시 주립 대학교
Q49212,텍사스 A&M 대학교
Q209842,파리 대학교
Q1339626,파슨스 디자인대학교
Q1393301,페얼레이 디킨슨 대학교
Q49117,펜실베이니아 대학교
Q739627,펜실베이니아 주립 대학교
Q18605880,포항중앙초등학교
Q1352632,폴 니츠 고등국제학대학
Q495015,푸단 대학
Q21578,프린스턴 대학교
Q49126,하버드 경영대학원
Q13371,하버드 대학교
Q49122,하버드 법학대학원
Q632558,하얼빈 공업대학
Q18734044,하의초등학교
Q39949,한국과학기술원
Q491597,한국방송통신대학교
Q16168160,한국영화아카데미
Q489696,한국예술종합학교
Q208736,한국외국어대학교
Q483744,한국체육대학교
Q864196,한국켄트외국인학교
Q626053,한남대학교
Q623604,한동대학교
Q12623978,한림연예예술고등학교
Q626067,한세대학교
Q19657556,한솔초등학교
Q624561,한신대학교
Q12624260,한양공업고등학교
Q40006,한양대학교
Q17401483,한양중학교
Q1323040,호세이 대학
Q16098991,호수돈여자고등학교
Q1057199,홋카이도 대학
Q491511,홍익대학교
Q16099017,홍익대학교 사범대학 부속고등학교
Q26239,황푸 군관학교
Q7993659,휘문고등학교
Q16099153,휘문중학교
