key,score,degree
Q484453,0.027655541139806155,10
Q445643,0.019522359785375122,8
Q7336146,0.021011067570274957,5
Q484006,0.00859011193368094,19
Q12597050,0.005628547683393813,7
Q56803925,0.004884226558848812,3
Q482900,0.004389755902360945,4
Q18648500,0.0038569641872537286,6
Q12617166,0.0034227660193884187,3
Q37682,0.002521102766776768,18
Q485009,0.0019796312132927185,18
Q257425,0.0012860656754764355,14
Q56697751,0.0010800041941910455,6
Q56526297,0.0010734982396448359,4
Q208203,0.0009880757912253974,6
Q468467,0.0009220892638150805,10
Q18381120,0.0006410104598381685,6
Q378483,0.000507576883909573,19
Q56812299,0.00044004236340040875,5
Q10665,0.00036948412977690195,11
Q26530,0.00026381608250248395,9
Q17964206,0.00023909875476670417,4
Q12625359,0.0002307780390913335,6
Q56606161,0.00023027038026743495,6
Q484359,0.0001980731731141444,13
Q496509,0.00017837135801918605,5
Q16262220,0.00012218136978473524,3
Q56805801,8.903572416353779e-05,4
Q496634,8.034387177118065e-05,8
Q625650,6.230638776769843e-05,4
Q56805103,6.292573190491922e-05,3
Q488694,4.955303165447662e-05,6
Q12625091,4.221080073889002e-05,4
Q56651426,3.959165773316441e-05,5
Q14356,3.699205287397424e-05,7
Q484966,3.759940342279902e-05,6
Q51029,3.602412344831386e-05,4
Q12585524,3.639781527466434e-05,4
Q12597573,3.245060477110425e-05,3
Q483631,3.272229893783417e-05,4
Q55733169,3.306674191187493e-05,4
Q56651392,3.341665218611739e-05,3
Q12587966,2.6960475942268635e-05,4
Q56651606,2.6113158534120814e-05,4
Q20651852,2.2950992745191194e-05,5
Q483641,2.092400401740877e-05,4
Q56432926,2.1151437240160468e-05,2
