rel,source,target
affiliation,Q11447326,Q2120619
affiliation,Q11477181,Q495384
affiliation,Q11532932,Q495384
affiliation,Q11646602,Q2120619
affiliation,Q11647096,Q495384
affiliation,Q12594449,Q11233843
affiliation,Q12597932,Q16161254
affiliation,Q12612929,Q495384
affiliation,Q12617477,Q16161254
affiliation,Q12618970,Q11233843
affiliation,Q13646009,Q50595
affiliation,Q16071030,Q50595
affiliation,Q16097542,Q11233843
affiliation,Q16160030,Q495384
affiliation,Q16161993,Q495384
affiliation,Q16172831,Q495384
affiliation,Q16173668,Q489428
affiliation,Q16177775,Q13424955
affiliation,Q16177982,Q11233843
affiliation,Q16183318,Q11233843
affiliation,Q169717,Q1988428
affiliation,Q169717,Q483938
affiliation,Q169717,Q5005884
affiliation,Q17157459,Q50595
affiliation,Q17157546,Q50595
affiliation,Q18444674,Q13424955
affiliation,Q18697707,Q50595
affiliation,Q18700504,Q495384
affiliation,Q18734073,Q495384
affiliation,Q19359953,Q492381
affiliation,Q19657317,Q50595
affiliation,Q19939351,Q13424955
affiliation,Q21575810,Q16688390
affiliation,Q21706963,Q495384
affiliation,Q22130185,Q2995703
affiliation,Q22973181,Q495384
affiliation,Q22974218,Q495384
affiliation,Q22974231,Q495384
affiliation,Q234066,Q483238
affiliation,Q234066,Q484449
affiliation,Q25252494,Q495384
affiliation,Q28178,Q1634097
affiliation,Q429046,Q16164774
affiliation,Q429046,Q483238
affiliation,Q429046,Q7509507
affiliation,Q483363,Q483238
affiliation,Q483683,Q50595
affiliation,Q483842,Q50595
affiliation,Q484087,Q1634097
affiliation,Q484812,Q10855622
affiliation,Q484812,Q221162
affiliation,Q484812,Q483938
affiliation,Q484815,Q483238
affiliation,Q485174,Q16161254
affiliation,Q485511,Q484449
affiliation,Q485667,Q16161254
affiliation,Q485667,Q483238
affiliation,Q485698,Q484449
affiliation,Q486196,Q45282
affiliation,Q486483,Q484449
affiliation,Q486559,Q495384
affiliation,Q486589,Q495384
affiliation,Q486649,Q11233843
affiliation,Q486649,Q483938
affiliation,Q486652,Q495384
affiliation,Q486942,Q45282
affiliation,Q488344,Q483238
affiliation,Q488423,Q483238
affiliation,Q488725,Q45282
affiliation,Q488725,Q483938
affiliation,Q489006,Q10855622
affiliation,Q489006,Q45282
affiliation,Q491515,Q45282
affiliation,Q491580,Q10855622
affiliation,Q491580,Q483938
affiliation,Q491612,Q484449
affiliation,Q492065,Q483238
affiliation,Q492691,Q45282
affiliation,Q492767,Q45282
affiliation,Q492821,Q495384
affiliation,Q492828,Q495384
affiliation,Q493300,Q495384
affiliation,Q494154,Q50595
affiliation,Q496170,Q287617
affiliation,Q496170,Q50595
affiliation,Q496362,Q483238
affiliation,Q5244665,Q16161254
affiliation,Q5244665,Q483238
affiliation,Q5244665,Q7509507
affiliation,Q5249793,Q45282
affiliation,Q56504895,Q56505191
affiliation,Q596923,Q45282
affiliation,Q596923,Q483238
affiliation,Q621380,Q45282
affiliation,Q624207,Q15509774
affiliation,Q624207,Q16161254
affiliation,Q624207,Q483238
affiliation,Q6781593,Q16161254
affiliation,Q7560602,Q213097
affiliation,Q7560602,Q482607
affiliation,Q7560602,Q7640246
affiliation,Q8970558,Q495384
affiliation,Q9021940,Q483238
birthplace,Q10129841,Q41283
birthplace,Q102098,Q41283
birthplace,Q1031888,Q8684
birthplace,Q10323487,Q8684
birthplace,Q1036353,Q42105
birthplace,Q10384345,Q50248
birthplace,Q10393422,Q655363
birthplace,Q10396882,Q42103
birthplace,Q10402252,Q42067
birthplace,Q10421546,Q42112
birthplace,Q10421732,Q50209
birthplace,Q10438846,Q884
birthplace,Q10440393,Q2013932
birthplace,Q10442137,Q884
birthplace,Q10446469,Q884
birthplace,Q10446475,Q884
birthplace,Q10446499,Q884
birthplace,Q10446510,Q8684
birthplace,Q10446510,Q884
birthplace,Q10446527,Q884
birthplace,Q10447391,Q884
birthplace,Q10447512,Q42131
birthplace,Q10453297,Q884
birthplace,Q10454846,Q884
birthplace,Q10455754,Q20934
birthplace,Q10455774,Q884
birthplace,Q10455796,Q884
birthplace,Q10456370,Q884
birthplace,Q10456399,Q884
birthplace,Q10456421,Q42159
birthplace,Q10456663,Q884
birthplace,Q10456706,Q884
birthplace,Q10456972,Q42093
birthplace,Q10456974,Q884
birthplace,Q10457006,Q884
birthplace,Q10457025,Q884
birthplace,Q10457049,Q8684
birthplace,Q10457750,Q20934
birthplace,Q10457763,Q8684
birthplace,Q10457791,Q884
birthplace,Q10457813,Q884
birthplace,Q10458141,Q884
birthplace,Q10458150,Q884
birthplace,Q10458165,Q884
birthplace,Q1046410,Q18097
birthplace,Q10464293,Q884
birthplace,Q10464473,Q884
birthplace,Q10465560,Q884
birthplace,Q10466944,Q884
birthplace,Q10466955,Q884
birthplace,Q10469566,Q42073
birthplace,Q10470972,Q884
birthplace,Q10485704,Q884
birthplace,Q10501322,Q884
birthplace,Q10509374,Q16520
birthplace,Q10509908,Q884
birthplace,Q10513303,Q1011275
birthplace,Q10513320,Q884
birthplace,Q10513721,Q884
birthplace,Q10514064,Q884
birthplace,Q10514073,Q884
birthplace,Q10514305,Q884
birthplace,Q10514417,Q50245
birthplace,Q10514659,Q884
birthplace,Q10514662,Q41278
birthplace,Q10514662,Q884
birthplace,Q10514666,Q884
birthplace,Q10514759,Q884
birthplace,Q10514933,Q41278
birthplace,Q10515442,Q42123
birthplace,Q10515845,Q884
birthplace,Q10516832,Q884
birthplace,Q10516966,Q1780214
birthplace,Q10523553,Q3141
birthplace,Q10523873,Q884
birthplace,Q10526915,Q16520
birthplace,Q10529202,Q884
birthplace,Q10530475,Q884
birthplace,Q10530690,Q42056
birthplace,Q10530845,Q884
birthplace,Q10533343,Q884
birthplace,Q10535683,Q884
birthplace,Q10537212,Q884
birthplace,Q10538085,Q884
birthplace,Q10539416,Q42157
birthplace,Q10542786,Q884
birthplace,Q10544863,Q884
birthplace,Q10546624,Q884
birthplace,Q10555537,Q8684
birthplace,Q10555544,Q884
birthplace,Q10555548,Q42146
birthplace,Q10558931,Q42108
birthplace,Q10558979,Q884
birthplace,Q1058075,Q8684
birthplace,Q1062006,Q1142667
birthplace,Q10665,Q501499
birthplace,Q10729153,Q16520
birthplace,Q1075512,Q20934
birthplace,Q1075519,Q41283
birthplace,Q1075523,Q16520
birthplace,Q1075524,Q42074
birthplace,Q1075703,Q423
birthplace,Q1075707,Q884
birthplace,Q1075712,Q18808
birthplace,Q1075746,Q884
birthplace,Q1076451,Q35765
birthplace,Q10767117,Q884
birthplace,Q10767614,Q884
birthplace,Q10775090,Q42112
birthplace,Q10797190,Q8684
birthplace,Q1080180,Q20927
birthplace,Q10802388,Q8684
birthplace,Q10822003,Q8684
birthplace,Q10822153,Q8684
birthplace,Q10834841,Q42084
birthplace,Q10852064,Q8684
birthplace,Q10855115,Q884
birthplace,Q10855116,Q18808
birthplace,Q10855118,Q20927
birthplace,Q10855122,Q490520
birthplace,Q10855123,Q16520
birthplace,Q10855124,Q8684
birthplace,Q10855126,Q8684
birthplace,Q10855128,Q20927
birthplace,Q10855137,Q8684
birthplace,Q10855140,Q8684
birthplace,Q10855146,Q16520
birthplace,Q10855253,Q705831
birthplace,Q10855255,Q8684
birthplace,Q10855336,Q41283
birthplace,Q10855338,Q131277
birthplace,Q10855370,Q42147
birthplace,Q10855431,Q884
birthplace,Q10855433,Q41283
birthplace,Q10855526,Q41157
birthplace,Q10855686,Q42099
birthplace,Q10855776,Q41283
birthplace,Q10855785,Q50318
birthplace,Q10855787,Q42135
birthplace,Q10855788,Q16520
birthplace,Q10855789,Q489829
birthplace,Q10855791,Q8684
birthplace,Q10855794,Q861256
birthplace,Q10855805,Q716127
birthplace,Q10855807,Q20937
birthplace,Q10855811,Q8684
birthplace,Q10855812,Q884
birthplace,Q10855814,Q127264
birthplace,Q10855816,Q8684
birthplace,Q10855818,Q884
birthplace,Q10855822,Q11419444
birthplace,Q10855825,Q495387
birthplace,Q10855826,Q41283
birthplace,Q10855828,Q42108
birthplace,Q10855831,Q20927
birthplace,Q10855838,Q50309
birthplace,Q10855840,Q16520
birthplace,Q10855844,Q8684
birthplace,Q10855845,Q130290
birthplace,Q10855846,Q985765
birthplace,Q10855848,Q41283
birthplace,Q10855849,Q42120
birthplace,Q10855852,Q8684
birthplace,Q10855863,Q11725
birthplace,Q10855865,Q8684
birthplace,Q10855868,Q8684
birthplace,Q10855871,Q41278
birthplace,Q10855872,Q20927
birthplace,Q10855875,Q50315
birthplace,Q10855898,Q42160
birthplace,Q10855903,Q8684
birthplace,Q10855915,Q1490
birthplace,Q10855918,Q42074
birthplace,Q10855924,Q16520
birthplace,Q10855929,Q41161
birthplace,Q10855930,Q42157
birthplace,Q10855982,Q42124
birthplace,Q10855990,Q220
birthplace,Q10856005,Q8684
birthplace,Q10856082,Q8684
birthplace,Q10858339,Q884
birthplace,Q10874903,Q28208
birthplace,Q10884727,Q42061
birthplace,Q1089561,Q16520
birthplace,Q10905241,Q8684
birthplace,Q10919869,Q41283
birthplace,Q10920433,Q42140
birthplace,Q1092288,Q1490
birthplace,Q10923947,Q20921
birthplace,Q1093105,Q41278
birthplace,Q1094249,Q1760365
birthplace,Q10943544,Q8684
birthplace,Q1094955,Q884
birthplace,Q11038902,Q8684
birthplace,Q110456,Q503585
birthplace,Q11053710,Q8684
birthplace,Q11060857,Q8684
birthplace,Q1106572,Q884
birthplace,Q1106577,Q884
birthplace,Q1106583,Q884
birthplace,Q11073341,Q8684
birthplace,Q11098056,Q20934
birthplace,Q11109533,Q42116
birthplace,Q11155900,Q20934
birthplace,Q11168611,Q8684
birthplace,Q1117132,Q18097
birthplace,Q11236425,Q865
birthplace,Q11237165,Q216
birthplace,Q11239447,Q20921
birthplace,Q11241509,Q18808
birthplace,Q11241615,Q20714
birthplace,Q11242163,Q884
birthplace,Q11242191,Q41070
birthplace,Q11243131,Q20934
birthplace,Q11243141,Q42141
birthplace,Q11243151,Q42062
birthplace,Q11243235,Q495387
birthplace,Q11243256,Q42061
birthplace,Q11243276,Q16520
birthplace,Q11243381,Q42140
birthplace,Q11243400,Q41278
birthplace,Q11243402,Q16520
birthplace,Q11243413,Q41283
birthplace,Q11243423,Q41283
birthplace,Q11243466,Q42073
birthplace,Q11243483,Q42140
birthplace,Q11243499,Q8684
birthplace,Q11243847,Q42059
birthplace,Q11243988,Q20714
birthplace,Q11244005,Q20714
birthplace,Q11244337,Q8684
birthplace,Q11249097,Q16520
birthplace,Q11250307,Q42056
birthplace,Q11250589,Q20934
birthplace,Q11251673,Q1207735
birthplace,Q11252248,Q42147
birthplace,Q11252300,Q41157
birthplace,Q11252353,Q20921
birthplace,Q11252389,Q42074
birthplace,Q11252421,Q1077022
birthplace,Q11252423,Q1131980
birthplace,Q11255029,Q42157
birthplace,Q11255131,Q42140
birthplace,Q11255149,Q42147
birthplace,Q11255206,Q41283
