key,name
Q51885404,(여자)아이들
Q307482,100%
Q491777,15&
Q498701,2AM
Q16097960,2NB
Q171885,2NE1
Q222760,2PM
Q6875258,4 Tomorrow
Q491078,8eight
Q492035,AOA
Q414110,"Academy of Arts, Berlin"
Q2370801,Academy of Sciences of the USSR
Q4743506,American Comparative Literature Association
Q433211,American Political Science Association
Q24860792,Anzen Manzai
Q4797245,Art of Movement
Q13575057,Association for Asian Studies
Q483234,B.A.P
Q483751,B1A4
Q12580816,CJ E&M 성우극회
Q22971816,Double S 301
Q492381,EXID
Q494717,EXO
Q497815,EXO-M
Q483248,F.T.아일랜드
Q23772001,GOT7
Q483135,H.O.T.
Q28686080,Hane-gumi
Q39075630,JBJ
Q496694,JJ Project
Q51729,JYJ
Q12495682,M&D
Q492308,M.I.B
Q33644200,MXM
Q626823,N.EX.T
Q15917045,NU'EST-M
Q13408637,QBS
Q7395331,S
Q497441,S.M. THE BALLAD
Q26856852,SF9
Q489102,SG 워너비
Q485188,SM TOWN
Q483938,SM 엔터테인먼트
Q489849,SS501
Q12581850,SZ (Streetzine)
Q2349753,Sumiyoshi-kai
Q11458202,Tsushima Forum
Q1447659,VIXX
Q484078,YB
Q19349186,YMGA
Q344286,f(x)
Q41398331,fromis 9
Q482380,god
Q492056,갱키즈
Q497325,걸스데이
Q485839,걸프렌즈
Q24694634,구구단
Q55736655,구구단 세미나
Q36300301,구구단 오구오구
Q40970,국제 올림픽 위원회
Q47488,국제 형사 재판소
Q115095,국제법 학회
Q626635,국카스텐
Q171183,기후 변화에 관한 정부간 패널
Q18683708,길구봉구
Q498385,나인뮤지스
Q483806,남녀공학
Q9050614,노라조
Q12590363,노바소닉
Q225105,뉴이스트
Q483209,다비치
Q5318904,다이나믹 듀오
Q20733515,다이아
Q492146,달샤벳
Q1394180,더 씨야
Q192983,동방신기
Q7335169,동해 & 은혁
Q24075015,드럭 레스토랑
Q12593755,들국화 (밴드)
Q19830085,디아크 (음악 그룹)
Q491708,라니아
Q177203,라붐
Q18344661,라붐
Q25112100,라자루스 그룹
Q12594009,량현량하
Q18437003,러블리즈
Q17466114,레드벨벳
Q11588897,레이디스 코드
Q489225,레인보우
Q626245,룰라
Q490010,리쌍
Q30940965,리얼걸프로젝트
Q17278068,마마무
Q487111,마이네임
Q27820706,모모랜드
Q19855151,몬스타엑스
Q16097160,무가당
Q1493021,미국 국립 과학 아카데미
Q466113,미국 물리학회
Q465654,미국 수학회
Q463303,미국 예술 과학 아카데미
Q284740,미쓰에이
Q17158042,바운스
Q13580495,방탄소년단
Q5003502,버즈 (밴드)
Q490213,베이비복스
Q307457,보이프렌드
Q26960605,볼빨간사춘기
Q16823787,봄여름가을겨울
Q624811,부활
Q483253,브라운 아이드 걸스
Q498326,블락비
Q25056945,블랙핑크
Q269595,비스트
Q491067,비투비
Q282104,빅뱅
Q323,빅뱅
Q7269143,빅스타
Q27861498,빅톤
Q18328761,빅플로
Q269836,샤이니
Q623822,샤크라
Q488973,서태지와 아이들
Q16935427,서프라이즈
Q14524548,세븐틴
Q18651163,소나무
Q20153,소녀시대
Q56260975,소녀시대-Oh!GG
Q484588,소녀시대-태티서
Q492251,쇼콜라
Q489030,슈가
Q239693,슈퍼주니어
Q700431,슈퍼주니어-Happy
Q2902030,슈퍼주니어-K.R.Y
Q706116,슈퍼주니어-M
Q2625142,슈퍼주니어-T
Q12603615,스위티
Q12603717,스텔라
Q492387,스피카
Q482995,시크릿
Q482620,신화
Q486323,써니힐
Q223048,씨스타
Q5248826,씨스타 19
Q25803678,씨아이브이에이
Q483172,씨엔블루
Q15410572,아리 밴드
Q23004252,아스트로
Q23688122,아이오아이
Q56402353,아이즈원
Q18161349,아이콘
Q12605407,아주대학교 의료원
Q10728972,악동뮤지션
Q845628,안 트리오
Q389067,애프터스쿨
Q626224,애프터스쿨 레드 & 블루
Q15903200,에스엠루키즈
Q492271,에이젝스
Q20858387,에이프릴
Q483286,에이핑크
Q17362588,에이핑크 BnN
Q18788,에픽하이
Q30036738,엘리스
Q499183,엠블랙
Q18733030,여자친구
Q723551,영국 학사원
Q127840,오각형
Q181144,오렌지 캬라멜
Q19794854,오마이걸
Q498417,오소녀
Q24834268,올망졸망
Q12608302,옴므
Q14853915,와썹
Q21964258,우주소녀
Q30311578,워너원
Q476119,원더걸스
Q485884,원타임
Q19855050,원펀치
Q15116397,위너
Q32860762,위키미키
Q48938270,유니티
Q48938268,유앤비
Q482543,유키스
Q28025953,이달의 소녀
Q331790,인터폴
Q50598,인피니트
