key,name
Q16010337,Amante
Q497240,MC
Q11613658,Q11613658
Q947873,TV 사회자
Q315247,University students
Q3400985,academic
Q13381572,artistic gymnast
Q28143257,badminton coach
Q5137571,basketball coach
Q18581305,beauty pageant contestant
Q2961975,business executive
Q3303330,calligrapher
Q1734662,cartographer
Q4853732,children's writer
Q5135542,cloth merchant
Q5784340,consort
Q811122,construction worker
Q43373553,cult leader
Q13381458,dressage rider
Q41835716,faculty member
Q15981151,jazz musician
Q6665249,judoka
Q15883433,mass murderer
Q1906857,mechanical engineer
Q2487799,mycologist
Q1854900,people smuggling
Q1255921,president
Q27658988,reality television participant
Q15995642,religious leader
Q43563252,restaurant owner
Q44508716,television personality
Q3387717,theatre director
Q18216771,video artist
Q13381376,weightlifter
Q177220,가수
Q28389,각본가
Q3455803,감독
Q600751,검사
Q1519593,검술
Q188094,경제학자
Q384593,경찰관
Q11303721,골프 선수
Q212238,공무원
Q572700,관료
Q37226,교사
Q121594,교수
Q1231865,교육자
Q974144,교육자
Q486839,국회의원
Q8473,군사
Q47064,군인
Q116,군주
Q214917,극작가
Q131524,기업가
Q855091,기타 연주자
Q15627169,노동운동가
Q3665646,농구 선수
Q131512,농부
Q121998,대사
Q3427349,대표
Q1622272,대학 교수
Q12592397,대한민국의 국가보훈처장
Q12592509,대한민국의 외교부 장관
Q5716684,댄서
Q386854,드럼 연주자
Q130857,디스크 자키
Q2722764,라디오 DJ
Q2252262,래퍼
Q2462658,매니저
Q4610556,모델
Q152002,목사
Q19598808,무신
Q12039558,바둑 기사
Q1259917,바이올리니스트
Q15117302,배구 선수
Q13141064,배드민턴 선수
Q33999,배우
Q333634,번역가
Q15987302,법조인
Q40348,변호사
Q7301138,부동산 투자가
Q6399436,비디오 자키
Q80687,비서
Q43845,사업가
Q33231,사진가
Q215536,상인
Q2066131,선수
Q477406,섭정
Q2405480,성우
Q6625963,소설가
Q10843402,수영 선수
Q170790,수학자
Q10866633,스피드 스케이팅 선수
Q854997,승려
Q49757,시인
Q488205,싱어송라이터
Q1371925,아나운서
Q970153,아역 배우
Q188473,액션 영화
Q10871364,야구 선수
Q14467526,언어학자
Q201788,역사가
Q1650915,연구원
Q2259451,연극 배우
Q1154323,연속 살인범
Q943995,연출가
Q207978,영사
Q7042855,영상 편집자
Q2526255,영화 감독
Q10800557,영화 배우
Q3282637,영화 프로듀서
Q483501,예술가
Q12097,왕
Q12069034,왕대비
Q193391,외교관
Q15253558,운동가
Q17125263,유튜버
Q11513337,육상 선수
Q183945,음악 프로듀서
Q639669,음악가
Q39631,의사
Q1476215,인권운동가
Q18814623,자서전 작가
Q36180,작가
Q36834,작곡가
Q753110,작곡가 겸 작사가
Q822146,작사가
Q83307,장관
Q83460,장군
Q1930187,저널리스트
Q482980,저자
Q16179389,전라북도지사
Q11499147,정치운동가
Q82955,정치인
Q13235160,제작자
Q6606110,제조사
Q1281618,조각가
Q599151,직원
Q11063,천문학자
Q4964182,철학자
Q1053574,총괄 프로듀서
Q3734658,총영사
Q222344,촬영 감독
Q484876,최고경영자
Q937857,축구 선수
Q13382519,탁구선수
Q2705098,탤런트
Q10833314,테니스 선수
Q10798782,텔레비전 배우
Q11085831,통역사
Q11051391,특명전권공사
Q16533,판사
Q203184,퍼스트 레이디
Q13381863,펜싱 선수
Q13474373,프로 레슬링 선수
Q3186699,프로 바둑 기사
Q486748,피아노 연주자
Q48282,학생
Q1028181,화가
Q593644,화학자
Q245068,희극 배우
