key,name,description,gender,image,birthdate,deathdate
Q43763542,Billy Heung Ki Du,,M,,,
Q41919430,Cho Seung-tae,Seung-Hui Cho's father,M,,,
Q4713069,Daniel Bess,American actor,M,,19771008,
Q1174767,David Horvath,artist,M,http://commons.wikimedia.org/wiki/Special:FilePath/Uglydolls%2C%20David%20Horvath%2C%202012%2C%20Free%20Comic%20Book%20Day.jpg,19710528,
Q42418509,Go Woo-seok,,M,,19720101,20170821
Q8250391,Han Lifei,consort of Yongle Emperor,F,,,14240101
Q28663892,Han Sung-Chul,,M,,,
Q6153255,Janet Chow,Hong Kong actress,F,,19830825,
Q24159,Jessica Pegula,American tennis player,F,http://commons.wikimedia.org/wiki/Special:FilePath/Jessica%20Pegula%201%2C%202015%20Wimbledon%20Qualifying%20-%20Diliff.jpg,19940224,
Q6204475,Jo Tongdal,South Korean singer,M,,19450101,
Q489210,K,South Korean singer,M,,19831116,
Q12966411,Kim Eun-seo,South Korean actress,F,,19980829,
Q41919799,Kim Hyang-im,Seung-Hui Cho's mother,F,,,
Q24049012,Kim Pegula,American businesswoman,F,,19690101,
Q1092288,Kim Song-yong,North Korean footballer,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Seng-Yong.jpg,19870226,
Q1741580,Kim Sun-min,South Korean children's book author and character designer,F,,19760608,
Q53679453,Kim Thaek-se,father of Kim yong-nam,M,,,
Q56612204,Lee Hye-kyung,Kim Jong-nam spouse,F,,,
Q6745643,Mami Kumagai,Japanese actress,F,,19600310,
Q11656104,Mari Sekine,Japanese talent,F,,19841022,
Q3332980,Mélodie Nakachian,,F,,19820104,
Q6958033,Nadya Hutagalung,Australian VJ,F,http://commons.wikimedia.org/wiki/Special:FilePath/Nadya%20Hutagalung.jpg,19740728,
Q16192929,Neal Shapiro,American television executive,M,,19580309,
Q11087790,Q11087790,,F,,,
Q11096031,Q11096031,,F,,18870101,19700101
Q11152192,Q11152192,,F,,15640101,15800101
Q11646457,Q11646457,North Korean association football player,M,,19551209,
Q14752447,Q14752447,,M,,,14240101
Q15924486,Q15924486,,F,,15000101,15750101
Q15928914,Q15928914,,F,,,
Q16603639,Q16603639,,F,,16900101,17350101
Q18653044,Q18653044,,F,,,
Q18668815,Q18668815,,F,,,
Q19854960,Q19854960,,F,,,
Q6381789,Terrence Pegula,American businessman,M,http://commons.wikimedia.org/wiki/Special:FilePath/Terry%20Pegula%202015.jpg,19510327,
Q9448583,가오쯔치,actor,M,,19810430,
Q56668984,강대균,"기업가, 대한전자재료 회장",M,,19410101,
Q444047,강량욱,North Korean politician,M,,19040101,19830101
Q709975,강반석,Korean activist,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kang%20bansuk.jpg,18920421,19320731
Q6824264,강부자,대한민국의 배우,F,http://commons.wikimedia.org/wiki/Special:FilePath/KOCIS%20Reenactment%20of%20a%20royal%20wedding%20on%20Mar%205%2C%202012%20%286958319503%29.jpg,19410208,
Q17963959,강석현,,M,,19670207,
Q16177672,강세형,대한민국의 정치인,M,,18990621,19600701
Q7497224,강신성일,"South Korean actor, film director, producer, and former politician",M,,19370508,
Q2233555,강영섭,North Korean politician (1931-2012),M,,19311015,20120121
Q42155021,강주은,미스코리아,F,,19710101,
Q41520985,강한옥,,F,,19280101,
Q485387,강혜정,South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kang%20Hye-jung%20from%20acrofan.jpg,19820104,
Q6362185,강효실,South Korean actress,F,,19320101,19961102
Q496842,견미리,South Korean actress and singer,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kyeon%20Mi-Ri.jpg,19640919,
Q12583628,경명군,,M,,14890101,15260101
Q6798094,경빈 김씨,,F,,18320101,19070101
Q484610,경빈 박씨,,F,,,15330615
Q11090010,경빈 박씨 (장조),,F,,,17610101
Q16180284,경선공주,,F,,14000101,
Q12583773,경순공주,,F,,,
Q12583779,경안공주,,F,,,
Q16180324,경정공주,,F,,,
Q54868073,고경택,grandfather of Kim Jong-un,M,,19130814,19990101
Q56434163,고광석,구한말 학자 고정주의 자녀,F,,,
Q12584207,고명환,South Korean film actor and comedian,M,http://commons.wikimedia.org/wiki/Special:FilePath/Ko%20Myung-Hwan.jpg,19720418,
Q496356,고소영,South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Ko%20So-young%2C%202011%20%28cropped%29.jpg,19721006,
Q16630731,고영남,South Korean film director,M,,19350222,20030917
Q263732,고용희,mother of Kim Jong-un,F,http://commons.wikimedia.org/wiki/Special:FilePath/Ko%20young-hee.jpg,19520626,20040813
Q16177870,고윤,actor,M,,19880912,
Q43110888,고은채,,F,,19800828,
Q56434125,고정주,구한말 규장각의 학자,M,,,
Q6424117,고창석,South Korean actor,M,http://commons.wikimedia.org/wiki/Special:FilePath/Ko%20Chang-Seok.jpg,19701013,
Q488025,고현정,South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Ko%20Hyun-Jung3.jpg,19710302,
Q625389,공덕귀,South Korean First lady,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kong%20Deok%20Kui%201928%27s.jpg,19110421,19971124
Q8512828,공빈 김씨,Korean noblewoman,F,,,
Q6799734,공신부인,consort of Xuande Emperor,F,,14100101,14830101
Q625340,공혜왕후,Korean royal consort,F,,14560101,14740101
Q16160132,곽방방,,F,,19800206,
Q12585205,광평대군,,M,,14250101,14440101
Q12585346,구광모,제4대 LG그룹 회장,M,,19780101,
Q56651633,구명진,기업가 구자학의 자녀,F,,19640101,
Q56664211,구문정,기업가 구자훈의 자녀,F,,19750101,
Q16177963,구본능,,M,,19490326,
Q1276156,구본무,South Korean business executive,M,http://commons.wikimedia.org/wiki/Special:FilePath/Koo%20Bon-Moo%20profile.jpg,19450210,20180520
Q16163145,구본준,South Korean businessman,M,http://commons.wikimedia.org/wiki/Special:FilePath/Koo%20Bon-Joon.jpg,19511224,
Q16163642,구인회,LG그룹의 창업주,M,http://commons.wikimedia.org/wiki/Special:FilePath/Koo%20In-Hwoi.jpg,19070827,19691231
Q12585524,구자경,대한민국의 기업인,M,,19250424,
Q56651635,구자학,"대한민국의 기업가, 아워홈 회장",M,,19300101,
Q56664062,구자훈,"기업가, LIG손해보험 회장",M,,19470101,
Q56663966,구철회,"기업가, 금성사 사장",M,,19090101,19750101
Q237673,구혜선,한국 배우,F,http://commons.wikimedia.org/wiki/Special:FilePath/Ku%20Hye-sun%20in%20May%202013.jpg,19841109,
Q20780124,국가비,,F,,19881008,
Q12585945,군부인 송씨,,F,,,
Q6450322,권갑용,South Korean Go player,M,,19571003,
Q483621,권상우,South Korean actor,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kwon%20Sang-Woo%20from%20acrofan.jpg,19760805,
Q482738,권양숙,대한민국의 전 영부인,F,http://commons.wikimedia.org/wiki/Special:FilePath/KwonYangsook%20LauraBush.jpg,19471223,
Q18648106,권재희,대한민국 배우,F,,19620921,
Q169144,권현상,South Korean actor,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kwon%20Hyun-Sang.jpg,19810702,
Q21824806,권효진,South Korean Go player,F,,19820327,
Q15941156,귀인 권씨,,F,,,
Q6839165,귀인 엄씨,Korean noblewoman,F,,,
Q6779816,귀인 이씨 (영보당),,F,,18430101,19281217
Q6699643,귀인 장씨,,F,,19000101,
Q6699528,귀인 정씨 (고종),,F,,18820101,19430101
Q6684451,귀인 정씨 (성종),,F,,,
Q6699576,귀인 조씨 (영조),,F,,17070101,17800101
Q17502365,귀인권씨,,F,,,
Q12586496,금성대군,,M,,,
Q12586567,금진호,South Korean politician,M,,19320101,
Q313083,기성용,South Korean association football player,M,http://commons.wikimedia.org/wiki/Special:FilePath/Ki%20Sung-Yueng.jpg,19890124,
Q483953,기태영,South Korean actor,M,,19781209,
Q433383,길영아,badminton player,F,,19700411,
Q8512836,김개시,concubine of Gwanghaegun,F,,,16230101
Q12586929,김경중,조선의 문신,M,http://commons.wikimedia.org/wiki/Special:FilePath/%EC%A7%80%EC%82%B0%20%EA%B9%80%EA%B2%BD%EC%A4%91.png,18630101,19450427
Q271067,김경희,daughter of Kim Il-sung,F,,19460530,
Q55727984,김교창,,M,,,
Q6408665,김구라,대한민국의 방송인,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20GuRa%20from%20acrofan.jpg,19701003,
Q1741525,김국태,정치인,M,,19240101,20131213
Q10855787,김규철,South Korean actor,M,,19600406,
Q485574,김근태,South Korean politician,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Keun-Tae.jpg,19470214,20111230
Q12587068,김기중,조선의 문신,M,,18590101,19330101
Q56434316,김남,윤보선 대통령의 비서,M,,,
Q485078,김남주,South Korean actress,F,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Nam-joo%20%28South%20Korean%20actress%2C%20born%201971%29.jpg,19710510,
Q45785,김대중,대한민국의 제15대 대통령,M,http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Dae-jung%20%28Cropped%29.png,19240106,20090818
Q16080186,김도창,"대한민국의 법조인, 정치인",M,,19221119,20050101
Q16093399,김동원,South Korean film actor,M,,19161114,20060513
Q7336146,김동조,대한민국의 정치인,M,,19180814,20041209
Q12587262,김동현 (1950년),South Korean film actor,M,,19500610,
Q12587265,김동현 (1998년),South Korean film actor,M,,19981110,
Q486374,김두한,"일제강점기 조선의 건달이자, 대한민국의 정치가이자, 예비역 대한민국 육군 상사",M,,19180515,19721121
Q840719,김만일,son of Kim Il-sung,M,,19440101,19470101
Q56433656,김명환,조선시대 관료,M,,,
Q484960,김무생,actor,M,,19430316,20050416
Q16080217,김무성,대한민국 정치인,M,,19510920,
Q493691,김무열,actor,M,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%B9%80%EB%AC%B4%EC%97%B4%20Kim%20Mu-yeol%200m31s.png,19820522,
Q489290,김문수,대한민국의 배드민턴 선수,M,,19631229,
Q16080219,김문용,대한민국의 정치인,M,,19160623,19950207
Q12587372,김문희,대한민국 학교법인 용문학원 이사장,F,,19281013,
Q56651577,김미연,전 중앙정보부장 김재춘의 손녀,F,,19790101,
Q3196768,김미정,South Korean judoka,F,,19710329,
Q492284,김민,South Korean actress,F,,19730608,
Q56434988,김민영,한국외국어대학교 교수,M,,19580101,
Q16174683,김민정,대한민국의 방송사 KBS의 여자 아나운서,F,http://commons.wikimedia.org/wiki/Special:FilePath/2016%EB%85%84%206%EC%9B%94%2016%EC%9D%BC%20KBS%20%EC%95%84%EB%82%98%EC%9A%B4%EC%84%9C%20%EA%B9%80%EB%AF%BC%EC%A0%95%20%EC%A0%9C17%ED%9A%8C%20%EA%B0%95%EC%9B%90%EB%8F%84%20119%20%EC%86%8C%EB%B0%A9%EB%8F%99%EC%9A%94%20%EA%B2%BD%EC%97%B0%EB%8C%80%ED%9A%8C%20DSC02183.jpg,19871130,
Q12587423,김민지 (아나운서),,F,,19850814,
Q56606265,김백균,법조인 김도창의 자녀,M,,19570101,
Q56526044,김병건,전 동아일보 부사장,M,,,
Q16080234,김병관,,M,,19340724,20080225
Q56812422,김보경,대한민국의 언론인,F,,19390101,
Q16175060,김보애,South Korean film actor,F,,19390101,20171014
Q6408371,김보연,South Korean actress,F,,19571231,
Q17172288,김보옥,,F,,19520101,
Q10855821,김복동,대한민국의 정치인,M,,19330305,20000419
Q26701451,김복선,badminton player,F,,19600101,
Q10855822,김봉웅,"Korean-Japanese playwright, director and theater director",M,,19480424,20100710
