key,name
Q1072363,Chief Officer
Q48300914,Director of the Propaganda and Agitation Department of the Workers’ Party of Korea
Q47612352,Interpol Red Notice
Q21328639,Member of the Supreme People's Assembly of North Korea
Q30160586,North Korean Ambassador
Q29511440,President of the United Nations Economic and Social Council
Q19403490,Q19403490
Q26903128,Q26903128
Q26903171,Q26903171
Q26903172,Q26903172
Q42591216,Secretary-General of the International Maritime Organization
Q19969187,UNICEF Goodwill Ambassador
Q42418632,Yushin Kanko
Q2824523,board member
Q47472704,chairperson of the Ethics Commission of the International Olympic Committee
Q55775219,governor of South Chungcheong Province
Q965043,judge of the International Criminal Court
Q6814365,member of the Australian Capital Territory Legislative Assembly
Q14552828,member of the House of Councillors
Q948657,titular bishop
Q50559021,강원도의원동정
Q12583545,경기도지사
Q1056391,교장
Q9200127,구성원
Q81066,국제 연합 사무총장
Q10540834,농무부 장관
Q121998,대사
Q50559446,대전광역시의원동정
Q49476,대주교
Q30461,대통령
Q277239,대한민국 대법원장
Q12592564,대한민국 헌법재판소장
Q488961,대한민국 환경부
Q12592375,대한민국의 고용노동부 장관
Q12592441,대한민국의 과학기술정보통신부 장관
Q15407843,대한민국의 국무총리
Q12592405,대한민국의 국방부 장관
Q14850694,대한민국의 국회의원
Q16176423,대한민국의 농림축산식품부 장관
Q12592425,대한민국의 대법관
Q6296418,대한민국의 대통령
Q22971123,대한민국의 대통령 권한대행
Q12592439,대한민국의 문화체육관광부 장관
Q489813,대한민국의 부통령 목록
Q485140,대한민국의 영부인 목록
Q12592509,대한민국의 외교부 장관
Q12592549,대한민국의 통일부 장관
Q16177560,대한민국의 해군참모총장
Q12592560,대한민국의 해양수산부 장관
Q12592496,대한민국의 행정안전부 장관
Q12592566,대한민국의 환경부 장관
Q23665193,대한제국 황제
Q13218630,미합중국 하원 의원
Q75178,보좌주교
Q50265926,부산광역시장
Q877955,부총리
Q611644,사교
Q50275527,서울특별시구청장
Q488289,서울특별시장
Q30185,시장
Q207293,왕세자
Q140686,의장
Q12619430,의정부총리대신
Q83307,장관
Q50559384,제주특별자치도의원동정
Q50275066,제주특별자치도지사
Q22304810,조선 임금
Q707631,조선로동당 중앙위원회 총비서
Q709616,조선민주주의인민공화국 국방위원회 위원장
Q18276342,조선민주주의인민공화국 주석
Q7240364,조선민주주의인민공화국의 총리
Q4330651,조선인민군의 최고사령관
Q29182,주교
Q11247470,지휘관
Q61061,총장
Q484876,최고경영자
Q45722,추기경
Q16179407,충청북도지사
Q12624008,한미연합사령부 부사령관
Q2285706,행정부 수반
Q7217692,황귀비
Q39018,황제
Q5353683,후궁
