key,name,description,gender,image,birthdate,deathdate
Q43763542,Billy Heung Ki Du,,M,,,
Q16079983,G.고릴라,가수,M,,19730220,
Q42418509,Go Woo-seok,,M,,19720101,20170821
Q8250391,Han Lifei,영락제의 후궁,F,,,14240101
Q28663892,Han Sung-Chul,,M,,,
Q6204475,Jo Tongdal,South Korean singer,M,,19450606,
Q489210,K,가수,M,,19831116,
Q53679453,Kim Thaek-se,김영남의 아버지,M,,,
Q6745643,Mami Kumagai,Japanese actress,F,,19600310,
Q11656104,Mari Sekine,Japanese talent,F,,19841022,
Q3332980,Mélodie Nakachian,,F,,19820104,
Q6958033,Nadya Hutagalung,Australian VJ,F,https://commons.wikimedia.org/wiki/Special:FilePath/Nadya%20Hutagalung.jpg,19740728,
Q11087790,Q11087790,,F,,,
Q14752447,Q14752447,,M,,,14240101
Q15924486,Q15924486,,F,,15000101,15750101
Q16603639,Q16603639,,F,,16900101,17350101
Q18653044,Q18653044,,F,,,
Q18668815,Q18668815,,F,,,
Q19854960,Q19854960,,F,,,
Q56827444,Q56827444,교수 서희원의 아버지,M,,,
Q56881476,Q56881476,일제강점기 관료 이해익의 자녀,M,,,
Q6381789,Terrence Pegula,American businessman,M,https://commons.wikimedia.org/wiki/Special:FilePath/Terry%20Pegula%202015.jpg,19510327,
Q9448583,가오쯔치,중화인민공화국의 배우,M,,19810430,
Q56668984,강대균,"기업가, 대한전자재료 회장",M,,19410101,
Q444047,강량욱,북한의 정치인,M,,19041207,19830101
Q709975,강반석,일제 강점기의 사회운동가,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kang%20bansuk.jpg,18920421,19320731
Q6824264,강부자,배우,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kang%20Boo-ja%20chopped.jpg,19410208,
Q17963959,강석현,,M,,19670207,
Q56879758,강세원,"기업가, 희성금속 회장",M,,19240101,20090510
Q16177672,강세형,정치인,M,,18990621,19600701
Q7497224,강신성일,"배우, 전 국회의원",M,,19370508,20181104
Q2233555,강영섭,북한의 정치인,M,,19311015,20120121
Q56879801,강영혜,기업가 강세원의 자녀,F,,19530101,19960101
Q42155021,강주은,미스코리아,F,,19710101,
Q41520985,강한옥,,F,,19280101,
Q485387,강혜정,배우,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kang%20Hye-jung%20from%20acrofan.jpg,19820104,
Q6362185,강효실,배우,F,,19320101,19961102
Q496842,견미리,배우이자 가수,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kyeon%20Mi-Ri.jpg,19640919,
Q12583628,경명군,조선 성종의 서남,M,,14890101,15260101
Q6798094,경빈 김씨,,F,,18320101,19070101
Q484610,경빈 박씨,,F,,,15330615
Q11090010,경빈 박씨,조선 장조의 후궁,F,,,17610101
Q16180284,경선공주,조선 태조의 차녀,F,,,
Q12583773,경순공주,조선 태조와 신덕왕후의 자녀,F,,,
Q3382230,경신공주,,F,,,
Q12583779,경안공주,조선 태종과 원경왕후의 자녀,F,,13930101,14150101
Q16180324,경정공주,조선 태종과 원경왕후의 자녀,F,,13870101,14550101
Q54868073,고경택,김정은의 조부,M,,19130814,19990101
Q56434163,고광석,구한말 학자 고정주의 자녀,F,,,
Q12584207,고명환,희극 배우,M,https://commons.wikimedia.org/wiki/Special:FilePath/Ko%20Myung-Hwan.jpg,19720418,
Q496356,고소영,배우,F,https://commons.wikimedia.org/wiki/Special:FilePath/Ko%20So-young%2C%202011%20%28cropped%29.jpg,19721006,
Q16630731,고영남,영화 감독,M,,19350222,20030917
Q263732,고용희,김정일의 네번째 배우자,F,https://commons.wikimedia.org/wiki/Special:FilePath/Ko%20young-hee.jpg,19520626,20040813
Q16177870,고윤,배우,M,,19880912,
Q43110888,고은채,,F,,19800828,
Q56880476,고은희,"기업가, 대림통상 이사",F,,19340101,
Q56434125,고정주,구한말 규장각의 학자,M,,18630101,19330101
Q6424117,고창석,South Korean actor,M,https://commons.wikimedia.org/wiki/Special:FilePath/Ko%20Chang-Seok.jpg,19701013,
Q488025,고현정,South Korean actress,F,https://commons.wikimedia.org/wiki/Special:FilePath/Ko%20Hyun-Jung3.jpg,19710302,
